analyte,seq_id,uniprot,entrez_gene_symbol,target_full_name,accession
X20948.16,20948-16,Q96DE0,NUDT16,U8 snoRNA-decapping enzyme,GCST90423843
X20950.159,20950-159,Q9NRG1,PRTFDC1,Phosphoribosyltransferase domain-containing protein 1,GCST90423844
X20952.15,20952-15,Q9NTX5,ECHDC1,Ethylmalonyl-CoA decarboxylase,GCST90423845
X20953.34,20953-34,Q9Y4U1,MMACHC,Methylmalonic aciduria and homocystinuria type C protein,GCST90423846
X20954.27,20954-27,Q6ICC9,RTL6,Protein LDOC1L,GCST90423847
X20955.20,20955-20,Q7Z6V5,ADAT2,tRNA-specific adenosine deaminase 2,GCST90423848
X20956.13,20956-13,Q9NQP4,PFDN4,Prefoldin subunit 4,GCST90423849
X20957.57,20957-57,Q8NFP7,NUDT10,Diphosphoinositol polyphosphate phosphohydrolase 3-alpha,GCST90423850
X20958.13,20958-13,Q9ULC3,RAB23,Ras-related protein Rab-23,GCST90423851
X20959.12,20959-12,Q8NEJ0,DUSP18,Dual specificity protein phosphatase 18,GCST90423852
X20960.47,20960-47,Q96AE4,FUBP1,Far upstream element-binding protein 1,GCST90423853
X20964.13,20964-13,P62263,RPS14,40S ribosomal protein S14,GCST90423854
X20965.18,20965-18,A6NCE7,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,GCST90423855
X20966.7,20966-7,Q96LD8,SENP8,Sentrin-specific protease 8,GCST90423856
X20967.137,20967-137,Q5JS54,PSMG4,Proteasome assembly chaperone 4,GCST90423857
X20968.22,20968-22,Q9NQT4,EXOSC5,Exosome complex component RRP46,GCST90423858
X20969.114,20969-114,Q8N488,RYBP,RING1 and YY1-binding protein,GCST90423859
X20970.14,20970-14,Q9H9R9,DBNDD1,Dysbindin domain-containing protein 1,GCST90423860
X20971.1,20971-1,Q9NZV6,MSRB1,Methionine-R-sulfoxide reductase B1,GCST90423861
X20972.37,20972-37,O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,GCST90423862
X20975.2,20975-2,Q14206,RCAN2,Calcipressin-2,GCST90423863
X20976.19,20976-19,P62310,LSM3,U6 snRNA-associated Sm-like protein LSm3,GCST90423864
X20977.2,20977-2,Q13371,PDCL,Phosducin-like protein,GCST90423865
X20979.86,20979-86,Q00403,GTF2B,Transcription initiation factor IIB,GCST90423866
X20982.29,20982-29,Q9BV90,SNRNP25,U11/U12 small nuclear ribonucleoprotein 25 kDa protein,GCST90423867
X20984.142,20984-142,Q8WTR2,DUSP19,Dual specificity protein phosphatase 19,GCST90423868
X20986.58,20986-58,Q9H6Z9,EGLN3,Egl nine homolog 3,GCST90423869
X20987.21,20987-21,O95475,SIX6,Homeobox protein SIX6,GCST90423870
X20988.63,20988-63,Q8TA86,RP9,Retinitis pigmentosa 9 protein,GCST90423871
X20990.48,20990-48,Q10587,TEF,Thyrotroph embryonic factor,GCST90423872
X20991.2,20991-2,Q9BT23,LIMD2,LIM domain-containing protein 2,GCST90423873
X20993.13,20993-13,Q5SZJ8,BEND6,BEN domain-containing protein 6,GCST90423874
X20994.37,20994-37,Q9H8W4,PLEKHF2,Pleckstrin homology domain-containing family F member 2,GCST90423875
X20995.47,20995-47,P19387,POLR2C,DNA-directed RNA polymerase II subunit RPB3,GCST90423876
X20996.107,20996-107,A6NFY7,SDHAF1,"Succinate dehydrogenase assembly factor 1, mitochondrial",GCST90423877
X20998.19,20998-19,Q9NPI5,NMRK2,Nicotinamide riboside kinase 2; Short=NRK 2; Short=NmR-K 2; EC=2.7.1.22,GCST90423878
X20999.12,20999-12,P46777,RPL5,60S ribosomal protein L5,GCST90423879
X21001.393,21001-393,Q8WUW1,BRK1,Protein BRICK1,GCST90423880
X21002.1,21002-1,Q8WVJ2,NUDCD2,NudC domain-containing protein 2,GCST90423881
X21008.113,21008-113,P61326,MAGOH,Protein mago nashi homolog,GCST90423882
X21009.28,21009-28,A6NMZ2,SNTN,Sentan,GCST90423883
X21104.37,21104-37,Q9BZL1,UBL5,Ubiquitin-like protein 5,GCST90423884
X21105.23,21105-23,A6NIH7,UNC119B,Protein unc-119 homolog B,GCST90423885
X21106.206,21106-206,Q12798,CETN1,Centrin-1,GCST90423886
X21107.5,21107-5,Q9Y375,NDUFAF1,"Complex I intermediate-associated protein 30, mitochondrial",GCST90423887
X21108.5,21108-5,Q9BRF8,CPPED1,Uncharacterized metallophosphoesterase CSTP1,GCST90423888
X21109.1,21109-1,Q96G28,CFAP36,Cilia- and flagella-associated protein 36,GCST90423889
X21110.5,21110-5,Q9H832,UBE2Z,Ubiquitin-conjugating enzyme E2 Z,GCST90423890
X21111.49,21111-49,Q9NZL4,HSPBP1,Hsp70-binding protein 1,GCST90423891
X21112.6,21112-6,Q96A32,MYLPF,"Myosin regulatory light chain 2, skeletal muscle isoform",GCST90423892
X21113.3,21113-3,Q96CG3,TIFA,TRAF-interacting protein with FHA domain-containing protein A,GCST90423893
X21114.18,21114-18,Q9UKB3,DNAJC12,DnaJ homolog subfamily C member 12,GCST90423894
X21115.48,21115-48,Q7Z5W3,BCDIN3D,Pre-miRNA 5'-monophosphate methyltransferase,GCST90423895
X21116.13,21116-13,O75530,EED,Polycomb protein EED,GCST90423896
X21117.18,21117-18,Q9NQZ6,ZC4H2,Zinc finger C4H2 domain-containing protein,GCST90423897
X21118.48,21118-48,P30047,GCHFR,GTP cyclohydrolase I feedback regulatory protein,GCST90423898
X21119.1,21119-1,Q8N4T8,CBR4,Carbonyl reductase family member 4,GCST90423899
X21120.3,21120-3,Q8N183,NDUFAF2,"Mimitin, mitochondrial",GCST90423900
X21121.31,21121-31,Q8TBC4,UBA3,NEDD8-activating enzyme E1 catalytic subunit,GCST90423901
X21122.3,21122-3,Q9BQY9,DBNDD2,Dysbindin domain-containing protein 2,GCST90423902
X21123.1,21123-1,Q13084,MRPL28,"39S ribosomal protein L28, mitochondrial",GCST90423903
X21124.17,21124-17,Q9NRH1,YAE1,Yae1 domain-containing protein 1,GCST90423904
X21128.2,21128-2,P24941,CDK2,CDK2,GCST90423905
X21129.95,21129-95,Q15013,MAD2L1BP,MAD2L1-binding protein,GCST90423906
X21130.82,21130-82,Q13572,ITPK1,Inositol-tetrakisphosphate 1-kinase,GCST90423907
X21131.109,21131-109,A2RUC4,TYW5,tRNA wybutosine-synthesizing protein 5,GCST90423908
X21132.9,21132-9,Q7L8C5,SYT13,Synaptotagmin-13,GCST90423909
X21133.33,21133-33,P56277,CMC4,Cx9C motif-containing protein 4,GCST90423910
X21134.9,21134-9,Q9NS37,CREBZF,CREB/ATF bZIP transcription factor,GCST90423911
X21135.16,21135-16,Q9Y3B4,SF3B6,Splicing factor 3B subunit 6,GCST90423912
X21136.1,21136-1,Q969U7,PSMG2,Proteasome assembly chaperone 2,GCST90423913
X21138.2,21138-2,Q86SE8,NPM2,Nucleoplasmin-2,GCST90423914
X21140.19,21140-19,P49069,CAMLG,Calcium signal-modulating cyclophilin ligand,GCST90423915
X21141.9,21141-9,Q96KN1,LRATD2,Protein FAM84B,GCST90423916
X21143.10,21143-10,Q13938,CAPS,Calcyphosin,GCST90423917
X21144.160,21144-160,O00141,SGK1,Serine/threonine-protein kinase Sgk1,GCST90423918
X21146.187,21146-187,O00294,TULP1,Tubby-related protein 1,GCST90423919
X21147.9,21147-9,Q9H479,FN3K,Fructosamine-3-kinase,GCST90423920
X21149.27,21149-27,Q9NWM3,CUEDC1,CUE domain-containing protein 1,GCST90423921
X21152.25,21152-25,O00167,EYA2,Eyes absent homolog 2,GCST90423922
X21153.5,21153-5,Q8IXM2,BAP18,Chromatin complexes subunit BAP18,GCST90423923
X21154.8,21154-8,Q9H9S4,CAB39L,Calcium-binding protein 39-like,GCST90423924
X21156.5,21156-5,Q8WUX2,CHAC2,Putative glutathione-specific gamma-glutamylcyclotransferase 2,GCST90423925
X21157.6,21157-6,A2RU49,HYKK,Hydroxylysine kinase,GCST90423926
X21160.4,21160-4,Q96FZ7,CHMP6,Charged multivesicular body protein 6,GCST90423927
X21161.16,21161-16,Q9UI43,MRM2,"rRNA methyltransferase 2, mitochondrial",GCST90423928
X21162.30,21162-30,Q5QJ74,TBCEL,Tubulin-specific chaperone cofactor E-like protein,GCST90423929
X21163.21,21163-21,Q9NVG8,TBC1D13,TBC1 domain family member 13,GCST90423930
X21164.83,21164-83,Q8IUE1,TGIF2LX,Homeobox protein TGIF2LX,GCST90423931
X21166.1,21166-1,Q9GZU7,CTDSP1,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,GCST90423932
X21167.33,21167-33,Q8WUK0,PTPMT1,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,GCST90423933
X21172.11,21172-11,Q9H1K6,TLNRD1,Mesoderm development candidate 1,GCST90423934
X21173.25,21173-25,Q12926,ELAVL2,ELAV-like protein 2,GCST90423935
X21178.8,21178-8,O76071,CIAO1,Probable cytosolic iron-sulfur protein assembly protein CIAO1,GCST90423936
X21180.16,21180-16,Q63HM9,PLCXD3,PI-PLC X domain-containing protein 3,GCST90423937
X21181.10,21181-10,Q9P2M1,LRP2BP,LRP2-binding protein,GCST90423938
X21182.8,21182-8,Q8WW01,TSEN15,tRNA-splicing endonuclease subunit Sen15,GCST90423939
X21183.1,21183-1,Q9Y6W6,DUSP10,Dual specificity protein phosphatase 10,GCST90423940
X21184.1,21184-1,Q6QNY1,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2,GCST90423941
X21188.38,21188-38,Q6NW29,RWDD4,RWD domain-containing protein 4,GCST90423942
X21189.9,21189-9,P53384,NUBP1,Nucleotide-binding protein 1,GCST90423943
X21190.4,21190-4,Q96B02,UBE2W,Ubiquitin-conjugating enzyme E2 W,GCST90423944
X21191.24,21191-24,Q9H596,DUSP21,Dual specificity protein phosphatase 21,GCST90423945
X21193.1,21193-1,Q9H5Q4,TFB2M,"Dimethyladenosine transferase 2, mitochondrial",GCST90423946
X21194.39,21194-39,Q14863,POU6F1,"POU domain, class 6, transcription factor 1",GCST90423947
X21196.29,21196-29,Q9NSI8,SAMSN1,SAM domain-containing protein SAMSN-1,GCST90423948
X21203.14,21203-14,Q96HT8,MRFAP1L1,MORF4 family-associated protein 1-like 1,GCST90423949
X21204.70,21204-70,Q6ICB0,DESI1,Desumoylating isopeptidase 1,GCST90423950
X21206.218,21206-218,O00165,HAX1,HCLS1-associated protein X-1,GCST90423951
X21207.1,21207-1,Q13057,COASY,Bifunctional coenzyme A synthase,GCST90423952
X21208.163,21208-163,Q15744,CEBPE,CCAAT/enhancer-binding protein epsilon,GCST90423953
X21210.33,21210-33,P06746,POLB,DNA polymerase beta,GCST90423954
X21217.20,21217-20,Q99623,PHB2,Prohibitin-2,GCST90423955
X21219.7,21219-7,Q86UA6,RPAIN,RPA-interacting protein,GCST90423956
X21220.11,21220-11,Q9Y6B6,SAR1B,GTP-binding protein SAR1b,GCST90423957
X21221.67,21221-67,P50453,SERPINB9,Serpin B9,GCST90423958
X21227.18,21227-18,P50225,SULT1A1,SULT 1A1*2,GCST90423959
X21229.5,21229-5,Q96BF3,TMIGD2,Transmembrane and immunoglobulin domain-containing protein 2,GCST90423960
X21231.3,21231-3,P30532,CHRNA5,Neuronal acetylcholine receptor subunit alpha-5,GCST90423961
X21232.39,21232-39,P07288,KLK3,Benign Prostate specific Antigen,GCST90423962
X21234.7,21234-7,Q8WXK3,ASB13,Ankyrin repeat and SOCS box protein 13,GCST90423963
X21235.11,21235-11,O15131,KPNA5,Importin subunit alpha-6,GCST90423964
X21236.12,21236-12,Q9BVK6,TMED9,Transmembrane emp24 domain-containing protein 9,GCST90423965
X21237.24,21237-24,Q9UM07,PADI4,Protein-arginine deiminase type-4,GCST90423966
X21238.40,21238-40,Q96JB5,CDK5RAP3,CDK5 regulatory subunit-associated protein 3,GCST90423967
X21239.31,21239-31,Q15438,CYTH1,Cytohesin-1,GCST90423968
X21240.6,21240-6,P48728,AMT,"Aminomethyltransferase, mitochondrial",GCST90423969
X21241.1,21241-1,Q93015,NAA80,N-acetyltransferase 6,GCST90423970
X21244.57,21244-57,P06748,NPM1,Nucleophosmin,GCST90423971
X21247.16,21247-16,Q00266,MAT1A,S-adenosylmethionine synthase isoform type-1,GCST90423972
X21249.115,21249-115,O00273,DFFA,DNA fragmentation factor subunit alpha,GCST90423973
X21255.2,21255-2,O15492,RGS16,Regulator of G-protein signaling 16,GCST90423974
X21260.74,21260-74,P62304,SNRPE,Small nuclear ribonucleoprotein E,GCST90423975
X21269.198,21269-198,P34913,EPHX2,Epoxide hydrolase 2,GCST90423976
X21271.53,21271-53,P52895,AKR1C2,Aldo-keto reductase family 1 member C2,GCST90423977
X21272.100,21272-100,Q9Y224,RTRAF,UPF0568 protein C14orf166,GCST90423978
X21276.11,21276-11,O43490,PROM1,CD133 antigen,GCST90423979
X21280.13,21280-13,Q99576,TSC22D3,TSC22 domain family protein 3,GCST90423980
X21281.13,21281-13,Q96S95,CAMK2N2,Calcium/calmodulin-dependent protein kinase II inhibitor 2,GCST90423981
X21282.21,21282-21,Q15025,TNIP1,TNFAIP3-interacting protein 1,GCST90423982
X21286.29,21286-29,P62913,RPL11,60S ribosomal protein L11,GCST90423983
X21289.36,21289-36,O75391,SPAG7,Sperm-associated antigen 7,GCST90423984
X21290.66,21290-66,O60921,HUS1,Checkpoint protein HUS1,GCST90423985
X21306.7,21306-7,Q96CS2,HAUS1,HAUS augmin-like complex subunit 1,GCST90423986
X21308.44,21308-44,Q9BTZ2,DHRS4,Dehydrogenase/reductase SDR family member 4,GCST90423987
X21310.37,21310-37,Q9UKD2,MRTO4,mRNA turnover protein 4 homolog,GCST90423988
X21311.22,21311-22,Q8WYK2,JDP2,Jun dimerization protein 2,GCST90423989
X21314.11,21314-11,Q9GZZ9,UBA5,Ubiquitin-like modifier-activating enzyme 5,GCST90423990
X21317.25,21317-25,Q9NYS0,NKIRAS1,NF-kappa-B inhibitor-interacting Ras-like protein 1,GCST90423991
X21319.196,21319-196,Q6IN84,MRM1,"rRNA methyltransferase 1, mitochondrial",GCST90423992
X21321.2,21321-2,P09661,SNRPA1,U2 small nuclear ribonucleoprotein AAE,GCST90423993
X21322.60,21322-60,P29084,GTF2E2,Transcription initiation factor IIE subunit beta,GCST90423994
X21323.2,21323-2,Q9H446,RWDD1,RWD domain-containing protein 1,GCST90423995
X21326.28,21326-28,Q15814,TBCC,Tubulin-specific chaperone C,GCST90423996
X21327.12,21327-12,Q9BWK5,CYREN,Modulator of retrovirus infection homolog,GCST90423997
X21328.2,21328-2,P21579,SYT1,Synaptotagmin-1,GCST90423998
X21329.66,21329-66,Q8TCD6,PHOSPHO2,Pyridoxal phosphate phosphatase PHOSPHO2,GCST90423999
X21330.13,21330-13,Q9Y2Z4,YARS2,"Tyrosyl-tRNA synthetase, mitochondrial",GCST90424000
X21331.19,21331-19,Q4VC05,BCL7A,B-cell CLL/lymphoma 7 protein family member A,GCST90424001
X21338.44,21338-44,Q9H173,SIL1,Nucleotide exchange factor SIL1,GCST90424002
X21339.19,21339-19,Q8TD30,GPT2,Alanine aminotransferase 2,GCST90424003
X21340.38,21340-38,Q16534,HLF,Hepatic leukemia factor,GCST90424004
X21341.19,21341-19,Q9BY43,CHMP4A,Charged multivesicular body protein 4a,GCST90424005
X21342.25,21342-25,O43566,RGS14,Regulator of G-protein signaling 14,GCST90424006
X21343.3,21343-3,Q7LC44,ARC,Activity-regulated cytoskeleton-associated protein,GCST90424007
X21344.31,21344-31,Q8WVM0,TFB1M,"Dimethyladenosine transferase 1, mitochondrial",GCST90424008
X21345.93,21345-93,Q96NR8,RDH12,Retinol dehydrogenase 12,GCST90424009
X21346.71,21346-71,Q02127,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",GCST90424010
X21348.22,21348-22,Q86TN4,TRPT1,tRNA 2'-phosphotransferase 1,GCST90424011
X21349.2,21349-2,Q8WUJ0,STYX,Serine/threonine/tyrosine-interacting protein,GCST90424012
X21350.29,21350-29,Q6ZN17,LIN28B,Protein lin-28 homolog B,GCST90424013
X21351.8,21351-8,P41250,GARS1,Glycyl t-RNA synthetase,GCST90424014
X21354.92,21354-92,Q96BW1,UPRT,Uracil phosphoribosyltransferase homolog,GCST90424015
X21355.4,21355-4,P22415,USF1,Upstream stimulatory factor 1,GCST90424016
X21356.6,21356-6,Q9BPU9,B9D2,B9 domain-containing protein 2,GCST90424017
X21357.12,21357-12,Q8WUP2,FBLIM1,Filamin-binding LIM protein 1,GCST90424018
X21359.17,21359-17,Q16612,NREP,Neuronal regeneration-related protein,GCST90424019
X21360.27,21360-27,Q5M775,SPECC1,Sperm antigen with calponin homology and coiled-coil domains 1,GCST90424020
X21361.8,21361-8,Q6F5E7,TXNRD3NB,Protein TXNRD3NB,GCST90424021
X21365.5,21365-5,O43739,CYTH3,Cytohesin-3,GCST90424022
X21366.7,21366-7,Q96DH6,MSI2,RNA-binding protein Musashi homolog 2,GCST90424023
X21367.63,21367-63,Q96F24,NRBF2,Nuclear receptor-binding factor 2,GCST90424024
X21368.46,21368-46,Q9Y2Y1,POLR3K,DNA-directed RNA polymerase III subunit RPC10,GCST90424025
X21369.15,21369-15,O00442,RTCA,RNA 3'-terminal phosphate cyclase,GCST90424026
X21370.45,21370-45,Q96BD8,SKA1,Spindle and kinetochore-associated protein 1,GCST90424027
X21371.12,21371-12,Q8IUF8,RIOX2,Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA,GCST90424028
X21373.8,21373-8,Q9H974,QTRT2,Queuine tRNA-ribosyltransferase subunit QTRTD1,GCST90424029
X21375.34,21375-34,Q8TBN0,RAB3IL1,Guanine nucleotide exchange factor for Rab-3A,GCST90424030
X21378.7,21378-7,Q8TCS8,PNPT1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",GCST90424031
X21379.30,21379-30,Q9NVF9,ETNK2,Ethanolamine kinase 2,GCST90424032
X21380.77,21380-77,Q9BXR0,QTRT1,Queuine tRNA-ribosyltransferase,GCST90424033
X21381.73,21381-73,Q9NU19,TBC1D22B,TBC1 domain family member 22B,GCST90424034
X21382.70,21382-70,Q9H777,ELAC1,Zinc phosphodiesterase ELAC protein 1,GCST90424035
X21383.37,21383-37,O43776,NARS1,"Asparaginyl-tRNA synthetase, cytoplasmic",GCST90424036
X21384.2,21384-2,P04066,FUCA1,Alpha-L-fucoside fucohydrolase,GCST90424037
X21385.5,21385-5,Q9H156,SLITRK2,SLIT and NTRK-like protein 2,GCST90424038
X21387.64,21387-64,Q16819,MEP1A,Meprin A subunit alpha,GCST90424039
X21389.32,21389-32,Q13188,STK3,Serine/threonine-protein kinase 3,GCST90424040
X21390.68,21390-68,P40126,DCT,L-dopachrome tautomerase,GCST90424041
X21391.17,21391-17,P0DN86,CGB3,Choriogonadotropin subunit beta 3,GCST90424042
X21392.15,21392-15,Q9Y5V3,MAGED1,Melanoma-associated antigen D1,GCST90424043
X21393.62,21393-62,P23526,AHCY,Adenosylhomocysteinase,GCST90424044
X21395.23,21395-23,O14917,PCDH17,Protocadherin-17,GCST90424045
X21397.21,21397-21,Q2VWP7,PRTG,Protogenin,GCST90424046
X21403.39,21403-39,P49815,TSC2,Tuberin,GCST90424047
X21406.25,21406-25,Q16584,MAP3K11,Mitogen-activated protein kinase kinase kinase 11,GCST90424048
X21429.50,21429-50,P52888,THOP1,Thimet oligopeptidase,GCST90424049
X21430.4,21430-4,P47712,PLA2G4A,Cytosolic phospholipase A2 alpha,GCST90424050
X21433.3,21433-3,P78410,BTN3A2,Butyrophilin subfamily 3 member A2,GCST90424051
X21435.143,21435-143,P78362,SRPK2,Serine/threonine-protein kinase SRPK2,GCST90424052
X21436.56,21436-56,Q8WYN0,ATG4A,Cysteine protease ATG4A,GCST90424053
X21437.77,21437-77,P16455,MGMT,Methylated-DNA--protein-cysteine methyltransferase,GCST90424054
X21438.45,21438-45,Q9C035,TRIM5,Tripartite motif-containing protein 5,GCST90424055
X21439.37,21439-37,P14317,HCLS1,Hematopoietic lineage cell-specific protein,GCST90424056
X21440.9,21440-9,P78325,ADAM8,ADAM 8,GCST90424057
X21441.20,21441-20,P17643,TYRP1,gp75,GCST90424058
X21450.333,21450-333,Q92851,CASP10,Caspase-10:region 2,GCST90424059
X21452.3,21452-3,O00429,DNM1L,Dynamin-1-like protein,GCST90424060
X21457.141,21457-141,Q96MF6,COQ10A,"Coenzyme Q-binding protein COQ10 homolog A, mitochondrial",GCST90424061
X21475.137,21475-137,O43396,TXNL1,Thioredoxin-like protein 1,GCST90424062
X21476.43,21476-43,Q969S2,NEIL2,Endonuclease 8-like 2,GCST90424063
X21477.105,21477-105,Q7L5Y9,MAEA,Macrophage erythroblast attacher,GCST90424064
X21478.20,21478-20,Q99717,SMAD5,SMAD5,GCST90424065
X21480.2,21480-2,P27701,CD82,CD82 antigen,GCST90424066
X21483.155,21483-155,P10644,PRKAR1A,cAMP-dependent protein kinase type I-alpha regulatory subunit,GCST90424067
X21487.20,21487-20,Q9UL45,BLOC1S6,Biogenesis of lysosome-related organelles complex 1 subunit 6,GCST90424068
X21491.7,21491-7,Q16853,AOC3,Vascular adhesion protein-1,GCST90424069
X21492.19,21492-19,Q15846,CLUL1,Clusterin-like protein 1,GCST90424070
X21495.134,21495-134,O15354,GPR37,Prosaposin receptor GPR37,GCST90424071
X21497.32,21497-32,Q9Y4L1,HYOU1,Hypoxia up-regulated protein 1,GCST90424072
X21498.3,21498-3,P49419,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase,GCST90424073
X21499.17,21499-17,Q99807,COQ7,"5-demethoxyubiquinone hydroxylase, mitochondrial",GCST90424074
X21503.12,21503-12,P16473,TSHR,Thyrotropin receptor,GCST90424075
X21504.41,21504-41,Q9UKV8,AGO2,Eukaryotic translation initiation factor 2C 2,GCST90424076
X21507.48,21507-48,Q9NX08,COMMD8,COMM domain-containing protein 8,GCST90424077
X21508.7,21508-7,Q92185,ST8SIA1,"Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase",GCST90424078
X21509.29,21509-29,Q9H1C3,GLT8D2,Glycosyltransferase 8 domain-containing protein 2,GCST90424079
X21510.24,21510-24,P34947,GRK5,G protein-coupled receptor kinase 5,GCST90424080
X21512.6,21512-6,Q9BV94,EDEM2,ER degradation-enhancing alpha-mannosidase-like 2,GCST90424081
X21513.1,21513-1,P55210,CASP7,Caspase-7,GCST90424082
X21514.1,21514-1,P13224,GP1BB,Platelet glycoprotein Ib beta chain,GCST90424083
X21515.61,21515-61,Q86V21,AACS,Acetoacetyl-CoA synthetase,GCST90424084
X21521.17,21521-17,P17752,TPH1,Tryptophan 5-hydroxylase 1,GCST90424085
X21523.71,21523-71,Q9H0C8,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C,GCST90424086
X21524.14,21524-14,P45974,USP5,Ubiquitin carboxyl-terminal hydrolase 5,GCST90424087
X21526.88,21526-88,Q8IYV9,IZUMO1,Izumo sperm-egg fusion protein 1,GCST90424088
X21528.12,21528-12,Q96LC9,BMF,Bcl-2-modifying factor,GCST90424089
X21529.6,21529-6,P57075,UBASH3A,Ubiquitin-associated and SH3 domain-containing protein A,GCST90424090
X21533.51,21533-51,P33241,LSP1,Lymphocyte-specific protein 1,GCST90424091
X21536.65,21536-65,Q8WVH0,CPLX3,Complexin-3,GCST90424092
X21537.33,21537-33,Q96I15,SCLY,Selenocysteine lyase,GCST90424093
X21539.139,21539-139,Q5T7P8,SYT6,Synaptotagmin-6,GCST90424094
X21540.73,21540-73,Q9UBW5,BIN2,Bridging integrator 2,GCST90424095
X21544.4,21544-4,Q6DD88,ATL3,Atlastin-3,GCST90424096
X21545.51,21545-51,Q8IVN3,MUSTN1,Musculoskeletal embryonic nuclear protein 1,GCST90424097
X21546.20,21546-20,Q6QNK2,ADGRD1,Adhesion G-protein coupled receptor D1,GCST90424098
X21547.6,21547-6,Q8IXL6,FAM20C,Dentin matrix protein 4,GCST90424099
X21548.20,21548-20,P36269,GGT5,Gamma-glutamyltransferase 5,GCST90424100
X21549.144,21549-144,Q96PL2,TECTB,Beta-tectorin,GCST90424101
X21552.9,21552-9,Q15067,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,GCST90424102
X21555.17,21555-17,P98173,FAM3A,Protein FAM3A,GCST90424103
X21562.3,21562-3,O95968,SCGB1D1,Secretoglobin family 1D member 1,GCST90424104
X21563.3,21563-3,Q9BZM1,PLA2G12A,sPLA(2)-XII,GCST90424105
X21567.214,21567-214,Q9BXJ3,C1QTNF4,Complement C1q tumor necrosis factor-related protein 4,GCST90424106
X21569.49,21569-49,O94804,STK10,Serine/threonine kinase 10,GCST90424107
X21572.91,21572-91,Q9H1B5,XYLT2,Xylosyltransferase 2,GCST90424108
X21577.35,21577-35,Q13451,FKBP5,FK506-binding protein 5,GCST90424109
X21579.35,21579-35,Q14896,MYBPC3,"Myosin-binding protein C, cardiac-type",GCST90424110
X21583.14,21583-14,Q9UNX3,RPL26L1,60S ribosomal protein L26-like 1,GCST90424111
X21588.4,21588-4,Q8WVF5,KCTD4,BTB/POZ domain-containing protein KCTD4,GCST90424112
X21589.80,21589-80,Q7L190,DPPA4,Developmental pluripotency-associated protein 4,GCST90424113
X21590.9,21590-9,Q9H9E1,ANKRA2,Ankyrin repeat family A protein 2,GCST90424114
X21592.8,21592-8,Q9H227,GBA3,Cytosolic beta-glucosidase,GCST90424115
X21595.8,21595-8,Q96MW1,CCDC43,Coiled-coil domain-containing protein 43,GCST90424116
X21599.6,21599-6,P32929,CTH,Cystathionine gamma-lyase,GCST90424117
X21600.10,21600-10,Q9NSA3,CTNNBIP1,Beta-catenin-interacting protein 1,GCST90424118
X21604.2,21604-2,O60888,CUTA,Protein CutA,GCST90424119
X21614.2,21614-2,Q8WXD5,GEMIN6,Gem-associated protein 6,GCST90424120
X21624.64,21624-64,Q9NYR9,NKIRAS2,NF-kappa-B inhibitor-interacting Ras-like protein 2,GCST90424121
X21628.6,21628-6,O43324,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1,GCST90424122
X21636.63,21636-63,P52298,NCBP2,Nuclear cap-binding protein subunit 2,GCST90424123
X21638.5,21638-5,Q9H2H8,PPIL3,Peptidyl-prolyl cis-trans isomerase-like 3,GCST90424124
X21643.8,21643-8,P60866,RPS20,40S ribosomal protein S20,GCST90424125
X21645.6,21645-6,Q8TAD8,SNIP1,Smad nuclear-interacting protein 1,GCST90424126
X21647.9,21647-9,P19623,SRM,Spermidine synthase,GCST90424127
X21649.12,21649-12,P56962,STX17,Syntaxin-17,GCST90424128
X21651.9,21651-9,P83876,TXNL4A,Thioredoxin-like protein 4A,GCST90424129
X21653.205,21653-205,Q9BTM9,URM1,Ubiquitin-related modifier 1,GCST90424130
X21655.18,21655-18,Q96NB1,CEP20,LisH domain-containing protein FOPNL,GCST90424131
X21658.15,21658-15,Q99623,PHB2,Prohibitin-2,GCST90424132
X21660.4,21660-4,Q9Y6B6,SAR1B,GTP-binding protein SAR1b,GCST90424133
X21661.82,21661-82,Q8IXL6,FAM20C,Dentin matrix protein 4,GCST90424134
X21662.121,21662-121,O43781,DYRK3,Dual specificity tyrosine-phosphorylation-regulated kinase 3,GCST90424135
X21663.149,21663-149,Q92185,ST8SIA1,"Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase",GCST90424136
X21664.6,21664-6,O75367,MACROH2A1,Core histone macro-H2A.1,GCST90424137
X21667.57,21667-57,Q01064,PDE1B,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",GCST90424138
X21670.52,21670-52,O00308,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,GCST90424139
X21674.132,21674-132,Q13410,BTN1A1,Butyrophilin subfamily 1 member A1,GCST90424140
