analyte,seq_id,uniprot,entrez_gene_symbol,target_full_name,accession
X11270.17,11270-17,Q8WYQ3,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",GCST90421405
X11273.176,11273-176,P0CG30,GSTT2B,Glutathione S-transferase theta-2B,GCST90421406
X11275.94,11275-94,Q9NZR2,LRP1B,Low-density lipoprotein receptor-related protein 1B,GCST90421407
X11277.23,11277-23,P18850,ATF6,Cyclic AMP-dependent transcription factor ATF-6 alpha,GCST90421408
X11278.4,11278-4,P13942,COL11A2,Collagen alpha-2(XI) chain,GCST90421409
X11279.42,11279-42,Q9UBS5,GABBR1,Gamma-aminobutyric acid type B receptor subunit 1,GCST90421410
X11280.6,11280-6,Q99259,GAD1,Glutamate decarboxylase 1,GCST90421411
X11281.6,11281-6,Q14451,GRB7,Growth factor receptor-bound protein 7,GCST90421412
X11282.16,11282-16,P21757,MSR1,Macrophage scavenger receptor types I and II:Extracellular domain,GCST90421413
X11283.13,11283-13,Q96JK2,DCAF5,DDB1- and CUL4-associated factor 5,GCST90421414
X11284.24,11284-24,Q6GTX8,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,GCST90421415
X11285.8,11285-8,P28906,CD34,Hematopoietic progenitor cell antigen CD34,GCST90421416
X11286.78,11286-78,Q9BQE4,SELENOS,Selenoprotein S,GCST90421417
X11287.14,11287-14,P00167,CYB5A,Cytochrome b5,GCST90421418
X11288.26,11288-26,P49902,NT5C2,Cytosolic purine 5'-nucleotidase,GCST90421419
X11289.31,11289-31,P48730,CSNK1D,Casein kinase I isoform delta,GCST90421420
X11292.13,11292-13,Q6AZY7,SCARA3,Scavenger receptor class A member 3:region 2,GCST90421421
X11293.14,11293-14,Q6UXK5,LRRN1,Leucine-rich repeat neuronal protein 1:Cytoplasmic domain,GCST90421422
X11294.7,11294-7,Q9ULS5,TMCC3,Transmembrane and coiled-coil domains protein 3:region 2,GCST90421423
X11297.54,11297-54,Q04721,NOTCH2,Neurogenic locus notch homolog protein 2,GCST90421424
X11300.32,11300-32,Q99523,SORT1,Sortilin,GCST90421425
X11302.237,11302-237,Q92752,TNR,Tenascin-R,GCST90421426
X11303.7,11303-7,Q9Y3Z3,SAMHD1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,GCST90421427
X11307.33,11307-33,Q9H0M0,WWP1,NEDD4-like E3 ubiquitin-protein ligase WWP1,GCST90421428
X11308.8,11308-8,Q8TEY5,CREB3L4,Cyclic AMP-responsive element-binding protein 3-like protein 4,GCST90421429
X11310.8,11310-8,P32926,DSG3,Desmoglein-3,GCST90421430
X11311.79,11311-79,P15918,RAG1,V(D)J recombination-activating protein 1,GCST90421431
X11312.40,11312-40,P54278,PMS2,Mismatch repair endonuclease PMS2,GCST90421432
X11313.100,11313-100,P61457,PCBD1,Pterin-4-alpha-carbinolamine dehydratase,GCST90421433
X11315.148,11315-148,O15297,PPM1D,Protein phosphatase 1D,GCST90421434
X11318.20,11318-20,Q6Q788,APOA5,Apolipoprotein A-V,GCST90421435
X11319.106,11319-106,P49959,MRE11,Double-strand break repair protein MRE11,GCST90421436
X11320.29,11320-29,Q96EP1,CHFR,E3 ubiquitin-protein ligase CHFR,GCST90421437
X11324.3,11324-3,A1KZ92,PXDNL,Peroxidasin-like protein,GCST90421438
X11325.8,11325-8,P78543,BTG2,Protein BTG2,GCST90421439
X11328.9,11328-9,Q9BQ65,USB1,U6 snRNA phosphodiesterase,GCST90421440
X11330.15,11330-15,P67870,CSNK2B,Casein kinase II subunit beta,GCST90421441
X11333.82,11333-82,P42331,ARHGAP25,Rho GTPase-activating protein 25,GCST90421442
X11334.7,11334-7,O75022,LILRB3,Leukocyte immunoglobulin-like receptor subfamily B member 3,GCST90421443
X11336.9,11336-9,Q9NPI8,FANCF,Fanconi anemia group F protein,GCST90421444
X11338.49,11338-49,P51451,BLK,Tyrosine-protein kinase BLK,GCST90421445
X11342.59,11342-59,Q6UX71,PLXDC2,Plexin domain-containing protein 2:Cytoplasmic domain,GCST90421446
X11348.132,11348-132,O15460,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,GCST90421447
X11350.30,11350-30,Q9UNE7,STUB1,E3 ubiquitin-protein ligase CHIP,GCST90421448
X11351.233,11351-233,Q9H9Q4,NHEJ1,Non-homologous end-joining factor 1,GCST90421449
X11352.42,11352-42,Q8WZ42,TTN,Titin,GCST90421450
X11353.143,11353-143,Q15796,SMAD2,Mothers against decapentaplegic homolog 2,GCST90421451
X11354.21,11354-21,Q9NQ66,PLCB1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",GCST90421452
X11355.10,11355-10,Q9GZV4,EIF5A2,Eukaryotic translation initiation factor 5A-2,GCST90421453
X11356.19,11356-19,Q96DF8,ESS2,Protein DGCR14,GCST90421454
X11358.15,11358-15,Q13322,GRB10,Growth factor receptor-bound protein 10,GCST90421455
X11360.39,11360-39,P23921,RRM1,Ribonucleoside-diphosphate reductase large subunit,GCST90421456
X11361.73,11361-73,P19971,TYMP,Thymidine phosphorylase,GCST90421457
X11363.58,11363-58,P55087,AQP4,Aquaporin-4,GCST90421458
X11364.18,11364-18,Q8IWA4,MFN1,Mitofusin-1,GCST90421459
X11365.17,11365-17,Q6N022,TENM4,Teneurin-4,GCST90421460
X11368.32,11368-32,P54819,AK2,"Adenylate kinase 2, mitochondrial",GCST90421461
X11369.23,11369-23,P11766,ADH5,Alcohol dehydrogenase class-3,GCST90421462
X11370.20,11370-20,Q9NRR6,INPP5E,72 kDa inositol polyphosphate 5-phosphatase,GCST90421463
X11371.1,11371-1,Q96P66,GPR101,Probable G-protein coupled receptor 101,GCST90421464
X11372.2,11372-2,P17022,ZNF18,Zinc finger protein 18,GCST90421465
X11375.49,11375-49,P58012,FOXL2,Forkhead box protein L2,GCST90421466
X11377.19,11377-19,P40394,ADH7,Alcohol dehydrogenase class 4 mu/sigma chain,GCST90421467
X11378.37,11378-37,P43405,SYK,Tyrosine-protein kinase SYK:Src Homology domain,GCST90421468
X11380.84,11380-84,Q9BX46,RBM24,RNA-binding protein 24,GCST90421469
X11381.56,11381-56,P60891,PRPS1,Ribose-phosphate pyrophosphokinase 1,GCST90421470
X11382.5,11382-5,P53004,BLVRA,Biliverdin reductase A,GCST90421471
X11383.41,11383-41,P08729,KRT7,"Keratin, type II cytoskeletal 7",GCST90421472
X11387.3,11387-3,Q99941,ATF6B,Cyclic AMP-dependent transcription factor ATF-6 beta,GCST90421473
X11388.75,11388-75,Q14508,WFDC2,WAP four-disulfide core domain protein 2,GCST90421474
X11390.24,11390-24,P35219,CA8,Carbonic anhydrase-related protein,GCST90421475
X11391.69,11391-69,Q03426,MVK,Mevalonate kinase,GCST90421476
X11395.5,11395-5,Q14289,PTK2B,"Protein-tyrosine kinase 2-beta:4.1 protein, ezrin, radixin, moesin domain",GCST90421477
X11396.39,11396-39,Q9UI46,DNAI1,"Dynein intermediate chain 1, axonemal",GCST90421478
X11401.181,11401-181,Q9NTX7,RNF146,E3 ubiquitin-protein ligase RNF146,GCST90421479
X11402.17,11402-17,Q8NEZ4,KMT2C,Histone-lysine N-methyltransferase 2C,GCST90421480
X11405.150,11405-150,Q9H257,CARD9,Caspase recruitment domain-containing protein 9,GCST90421481
X11406.82,11406-82,Q9UKU7,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial",GCST90421482
X11407.57,11407-57,Q9NRY6,PLSCR3,Phospholipid scramblase 3,GCST90421483
