gene,uniprot,oid,version,panel,synapse_id,filename
PAEP,P09466,OID20925,v1,Neurology,syn51483730,PAEP_P09466_OID20925_v1_Neurology.tar
PAFAH1B3,Q15102,OID30998,v1,Neurology_II,syn52332658,PAFAH1B3_Q15102_OID30998_v1_Neurology_II.tar
PAFAH2,Q99487,OID31286,v1,Oncology_II,syn52334478,PAFAH2_Q99487_OID31286_v1_Oncology_II.tar
PAG1,Q9NWQ8,OID20108,v1,Cardiometabolic,syn51483594,PAG1_Q9NWQ8_OID20108_v1_Cardiometabolic.tar
PAGR1,Q9BTK6,OID30206,v1,Cardiometabolic_II,syn52355519,PAGR1_Q9BTK6_OID30206_v1_Cardiometabolic_II.tar
PAIP2B,Q9ULR5,OID31228,v1,Oncology_II,syn52333771,PAIP2B_Q9ULR5_OID31228_v1_Oncology_II.tar
PAK4,O96013,OID20819,v1,Neurology,syn51476444,PAK4_O96013_OID20819_v1_Neurology.tar
PALLD,Q8WX93,OID30444,v1,Inflammation_II,syn52355965,PALLD_Q8WX93_OID30444_v1_Inflammation_II.tar
PALM,O75781,OID31515,v1,Oncology_II,syn52334664,PALM_O75781_OID31515_v1_Oncology_II.tar
PALM2,Q8IXS6,OID31096,v1,Neurology_II,syn52355424,PALM2_Q8IXS6_OID31096_v1_Neurology_II.tar
PALM3,A6NDB9,OID30182,v1,Cardiometabolic_II,syn52355480,PALM3_A6NDB9_OID30182_v1_Cardiometabolic_II.tar
PAM,P19021,OID20291,v1,Cardiometabolic,syn51476071,PAM_P19021_OID20291_v1_Cardiometabolic.tar
PAMR1,Q6UXH9,OID21153,v1,Neurology,syn51483743,PAMR1_Q6UXH9_OID21153_v1_Neurology.tar
PAPPA,Q13219,OID20421,v1,Inflammation,syn51483310,PAPPA_Q13219_OID20421_v1_Inflammation.tar
PARD3,Q8TEW0,OID31301,v1,Oncology_II,syn52356468,PARD3_Q8TEW0_OID31301_v1_Oncology_II.tar
PARK7,Q99497,OID21160,v1,Neurology,syn51483155,PARK7_Q99497_OID21160_v1_Neurology.tar
PARP1,P09874,OID20500,v1,Inflammation,syn51489817,PARP1_P09874_OID20500_v1_Inflammation.tar
PAXX,Q9BUH6,OID30591,v1,Inflammation_II,syn52358182,PAXX_Q9BUH6_OID30591_v1_Inflammation_II.tar
PBK,Q96KB5,OID31158,v1,Oncology_II,syn52331711,PBK_Q96KB5_OID31158_v1_Oncology_II.tar
PBLD,P30039,OID20839,v1,Neurology,syn51496131,PBLD_P30039_OID20839_v1_Neurology.tar
PBXIP1,Q96AQ6,OID31435,v1,Oncology_II,syn52355782,PBXIP1_Q96AQ6_OID31435_v1_Oncology_II.tar
PCARE,A6NGG8,OID30838,v1,Neurology_II,syn52334047,PCARE_A6NGG8_OID30838_v1_Neurology_II.tar
PCBD1,P61457,OID30610,v1,Inflammation_II,syn52358311,PCBD1_P61457_OID30610_v1_Inflammation_II.tar
PCBP2,Q15366,OID31003,v1,Neurology_II,syn52332028,PCBP2_Q15366_OID31003_v1_Neurology_II.tar
PCDH1,Q08174,OID20614,v1,Inflammation,syn51489553,PCDH1_Q08174_OID20614_v1_Inflammation.tar
PCDH12,Q9NPG4,OID31045,v1,Neurology_II,syn52356772,PCDH12_Q9NPG4_OID31045_v1_Neurology_II.tar
PCDH17,O14917,OID20132,v1,Cardiometabolic,syn51496287,PCDH17_O14917_OID20132_v1_Cardiometabolic.tar
PCDH7,O60245,OID31456,v1,Oncology_II,syn52355416,PCDH7_O60245_OID31456_v1_Oncology_II.tar
PCDH9,Q9HC56,OID31516,v1,Oncology_II,syn52355891,PCDH9_Q9HC56_OID31516_v1_Oncology_II.tar
PCDHB15,Q9Y5E8,OID31377,v1,Oncology_II,syn52356009,PCDHB15_Q9Y5E8_OID31377_v1_Oncology_II.tar
PCNA,P12004,OID31161,v1,Oncology_II,syn52355780,PCNA_P12004_OID31161_v1_Oncology_II.tar
PCOLCE,Q15113,OID20384,v1,Cardiometabolic,syn51476648,PCOLCE_Q15113_OID20384_v1_Cardiometabolic.tar
PCSK7,Q16549,OID31410,v1,Oncology_II,syn52355853,PCSK7_Q16549_OID31410_v1_Oncology_II.tar
PCSK9,Q8NBP7,OID20235,v1,Cardiometabolic,syn51476160,PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic.tar
PCYT2,Q99447,OID31519,v1,Oncology_II,syn52356225,PCYT2_Q99447_OID31519_v1_Oncology_II.tar
PDAP1,Q13442,OID30323,v1,Cardiometabolic_II,syn52356656,PDAP1_Q13442_OID30323_v1_Cardiometabolic_II.tar
PDCD1,Q15116,OID21396,v1,Oncology,syn51476589,PDCD1_Q15116_OID21396_v1_Oncology.tar
PDCD1LG2,Q9BQ51,OID21273,v1,Oncology,syn51476690,PDCD1LG2_Q9BQ51_OID21273_v1_Oncology.tar
PDCD5,O14737,OID21021,v1,Neurology,syn51489536,PDCD5_O14737_OID21021_v1_Neurology.tar
PDCD6,O75340,OID20163,v1,Cardiometabolic,syn51489827,PDCD6_O75340_OID20163_v1_Cardiometabolic.tar
PDCL2,Q8N4E4,OID31168,v1,Oncology_II,syn52331898,PDCL2_Q8N4E4_OID31168_v1_Oncology_II.tar
PDE1C,Q14123,OID31201,v1,Oncology_II,syn52332579,PDE1C_Q14123_OID31201_v1_Oncology_II.tar
PDE4D,Q08499,OID30084,v1,Cardiometabolic_II,syn52333642,PDE4D_Q08499_OID30084_v1_Cardiometabolic_II.tar
PDE5A,O76074,OID30584,v1,Inflammation_II,syn52356443,PDE5A_O76074_OID30584_v1_Inflammation_II.tar
PDGFA,P04085,OID20313,v1,Cardiometabolic,syn51475814,PDGFA_P04085_OID20313_v1_Cardiometabolic.tar
PDGFB,P01127,OID20741,v1,Inflammation,syn51496119,PDGFB_P01127_OID20741_v1_Inflammation.tar
PDGFC,Q9NRA1,OID21183,v1,Oncology,syn51495936,PDGFC_Q9NRA1_OID21183_v1_Oncology.tar
PDGFRA,P16234,OID20133,v1,Cardiometabolic,syn51482826,PDGFRA_P16234_OID20133_v1_Cardiometabolic.tar
PDGFRB,P09619,OID20268,v1,Cardiometabolic,syn51482964,PDGFRB_P09619_OID20268_v1_Cardiometabolic.tar
PDIA2,Q13087,OID31214,v1,Oncology_II,syn52359514,PDIA2_Q13087_OID31214_v1_Oncology_II.tar
PDIA3,P30101,OID30573,v1,Inflammation_II,syn52355606,PDIA3_P30101_OID30573_v1_Inflammation_II.tar
PDIA4,P13667,OID30375,v1,Cardiometabolic_II,syn52331715,PDIA4_P13667_OID30375_v1_Cardiometabolic_II.tar
PDIA5,Q14554,OID31209,v1,Oncology_II,syn52355470,PDIA5_Q14554_OID31209_v1_Oncology_II.tar
PDLIM5,Q96HC4,OID31063,v1,Neurology_II,syn52334035,PDLIM5_Q96HC4_OID31063_v1_Neurology_II.tar
PDLIM7,Q9NR12,OID20729,v1,Inflammation,syn51476151,PDLIM7_Q9NR12_OID20729_v1_Inflammation.tar
PDP1,Q9P0J1,OID21176,v1,Oncology,syn51483693,PDP1_Q9P0J1_OID21176_v1_Oncology.tar
PDRG1,Q9NUG6,OID30912,v1,Neurology_II,syn52356018,PDRG1_Q9NUG6_OID30912_v1_Neurology_II.tar
PDXDC1,Q6P996,OID31226,v1,Oncology_II,syn52356860,PDXDC1_Q6P996_OID31226_v1_Oncology_II.tar
PDZD2,O15018,OID30151,v1,Cardiometabolic_II,syn52356008,PDZD2_O15018_OID30151_v1_Cardiometabolic_II.tar
PDZK1,Q5T2W1,OID30550,v1,Inflammation_II,syn52332429,PDZK1_Q5T2W1_OID30550_v1_Inflammation_II.tar
PEAR1,Q5VY43,OID20257,v1,Cardiometabolic,syn51496303,PEAR1_Q5VY43_OID20257_v1_Cardiometabolic.tar
PEBP1,P30086,OID21087,v1,Neurology,syn51476252,PEBP1_P30086_OID21087_v1_Neurology.tar
PECAM1,P16284,OID21131,v1,Neurology,syn51483186,PECAM1_P16284_OID21131_v1_Neurology.tar
PECR,Q9BY49,OID30228,v1,Cardiometabolic_II,syn52333912,PECR_Q9BY49_OID30228_v1_Cardiometabolic_II.tar
PENK,P01210,OID30666,v1,Inflammation_II,syn52331704,PENK_P01210_OID30666_v1_Inflammation_II.tar
PEPD,P12955,OID30688,v1,Inflammation_II,syn52333849,PEPD_P12955_OID30688_v1_Inflammation_II.tar
PER3,P56645,OID30511,v1,Inflammation_II,syn52333992,PER3_P56645_OID30511_v1_Inflammation_II.tar
