gene,uniprot,oid,version,panel,synapse_id,filename
GNPDA1,P46926,OID30197,v1,Cardiometabolic_II,syn52363252,GNPDA1_P46926_OID30197_v1_Cardiometabolic_II.tar
GNPDA2,Q8TDQ7,OID30597,v1,Inflammation_II,syn52361414,GNPDA2_Q8TDQ7_OID30597_v1_Inflammation_II.tar
GOLGA3,Q08378,OID31026,v1,Neurology_II,syn52362531,GOLGA3_Q08378_OID31026_v1_Neurology_II.tar
GOLM2,Q6P4E1,OID21044,v1,Neurology,syn51470513,GOLM2_Q6P4E1_OID21044_v1_Neurology.tar
GOPC,Q9HD26,OID20551,v1,Inflammation,syn51468671,GOPC_Q9HD26_OID20551_v1_Inflammation.tar
GORASP2,Q9H8Y8,OID31438,v1,Oncology_II,syn52361308,GORASP2_Q9H8Y8_OID31438_v1_Oncology_II.tar
GOT1,P17174,OID30417,v1,Cardiometabolic_II,syn52363611,GOT1_P17174_OID30417_v1_Cardiometabolic_II.tar
GP1BA,P07359,OID20381,v1,Cardiometabolic,syn51468773,GP1BA_P07359_OID20381_v1_Cardiometabolic.tar
GP1BB,P13224,OID30174,v1,Cardiometabolic_II,syn52361583,GP1BB_P13224_OID30174_v1_Cardiometabolic_II.tar
GP2,P55259,OID20090,v1,Cardiometabolic,syn51469710,GP2_P55259_OID20090_v1_Cardiometabolic.tar
GP5,P40197,OID30611,v1,Inflammation_II,syn52361748,GP5_P40197_OID30611_v1_Inflammation_II.tar
GP6,Q9HCN6,OID21091,v1,Neurology,syn51469193,GP6_Q9HCN6_OID21091_v1_Neurology.tar
GPA33,Q99795,OID21376,v1,Oncology,syn51468569,GPA33_Q99795_OID21376_v1_Oncology.tar
GPC1,P35052,OID21438,v1,Oncology,syn51469528,GPC1_P35052_OID21438_v1_Oncology.tar
GPC5,P78333,OID20944,v1,Neurology,syn51469913,GPC5_P78333_OID20944_v1_Neurology.tar
GPD1,P21695,OID31358,v1,Oncology_II,syn52361361,GPD1_P21695_OID31358_v1_Oncology_II.tar
GPHA2,Q96T91,OID31437,v1,Oncology_II,syn52362460,GPHA2_Q96T91_OID31437_v1_Oncology_II.tar
GPI,P06744,OID30680,v1,Inflammation_II,syn52362299,GPI_P06744_OID30680_v1_Inflammation_II.tar
GPIHBP1,Q8IV16,OID31469,v1,Oncology_II,syn52361394,GPIHBP1_Q8IV16_OID31469_v1_Oncology_II.tar
GPKOW,Q92917,OID20890,v1,Neurology,syn51469336,GPKOW_Q92917_OID20890_v1_Neurology.tar
GPNMB,Q14956,OID20173,v1,Cardiometabolic,syn51471344,GPNMB_Q14956_OID20173_v1_Cardiometabolic.tar
GPR101,Q96P66,OID30819,v1,Neurology_II,syn52361327,GPR101_Q96P66_OID30819_v1_Neurology_II.tar
GPR158,Q5T848,OID31013,v1,Neurology_II,syn52361688,GPR158_Q5T848_OID31013_v1_Neurology_II.tar
GPR15L,Q6UWK7,OID31511,v1,Oncology_II,syn52362792,GPR15L_Q6UWK7_OID31511_v1_Oncology_II.tar
GPR37,O15354,OID20095,v1,Cardiometabolic,syn51470220,GPR37_O15354_OID20095_v1_Cardiometabolic.tar
GPRC5C,Q9NQ84,OID31340,v1,Oncology_II,syn52361284,GPRC5C_Q9NQ84_OID31340_v1_Oncology_II.tar
GRAP2,O75791,OID20192,v1,Cardiometabolic,syn51470976,GRAP2_O75791_OID20192_v1_Cardiometabolic.tar
GRHPR,Q9UBQ7,OID30289,v1,Cardiometabolic_II,syn52361573,GRHPR_Q9UBQ7_OID30289_v1_Cardiometabolic_II.tar
GRIK2,Q13002,OID30977,v1,Neurology_II,syn52361712,GRIK2_Q13002_OID30977_v1_Neurology_II.tar
GRIN2B,Q13224,OID30802,v1,Neurology_II,syn52363374,GRIN2B_Q13224_OID30802_v1_Neurology_II.tar
GRK5,P34947,OID20066,v1,Cardiometabolic,syn51470723,GRK5_P34947_OID20066_v1_Cardiometabolic.tar
GRN,P28799,OID21159,v1,Neurology,syn51470277,GRN_P28799_OID21159_v1_Neurology.tar
